#
# Initial mass = 1.000, Z =  0.0300, Y =  0.300, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/mg26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  2.219E+01 1.652E+03 1.097E+03 6.358E+02 7.899E+00 7.174E+00 9.745E-09 1.969E+01 2.987E+01 3.130E-22 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.219E+01 1.651E+03 1.097E+03 6.358E+02 7.899E+00 7.174E+00 9.196E-09 1.969E+01 2.987E+01 2.742E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 2.743E-34 3.852E-01 1.674E-02 5.339E-02
  2.220E+01 1.650E+03 1.097E+03 6.357E+02 7.899E+00 7.174E+00 8.665E-09 1.969E+01 2.987E+01 6.784E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 8.013E-34 3.852E-01 1.674E-02 5.339E-02
  2.235E+01 1.638E+03 1.101E+03 6.346E+02 7.899E+00 7.174E+00 8.098E-09 1.969E+01 2.987E+01 7.417E-16 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 2.951E-31 3.852E-01 1.674E-02 5.339E-02
  2.235E+01 1.637E+03 1.101E+03 6.346E+02 7.899E+00 7.174E+00 7.594E-09 1.969E+01 2.987E+01 4.415E-14 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 5.531E-31 3.852E-01 1.674E-02 5.339E-02
  2.236E+01 1.637E+03 1.101E+03 6.346E+02 7.899E+00 7.174E+00 7.111E-09 1.969E+01 2.987E+01 8.626E-14 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 4.368E-29 3.852E-01 1.674E-02 5.339E-02
  2.238E+01 1.636E+03 1.102E+03 6.344E+02 7.899E+00 7.174E+00 6.649E-09 1.969E+01 2.987E+01 1.871E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 3.102E-26 3.852E-01 1.674E-02 5.339E-02
  2.257E+01 1.620E+03 1.107E+03 6.331E+02 7.899E+00 7.174E+00 6.160E-09 1.969E+01 2.987E+01 2.529E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 5.824E-26 3.852E-01 1.674E-02 5.339E-02
  2.257E+01 1.620E+03 1.107E+03 6.330E+02 7.899E+00 7.174E+00 5.762E-09 1.969E+01 2.987E+01 5.964E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 2.893E-25 3.852E-01 1.674E-02 5.339E-02
  2.257E+01 1.620E+03 1.107E+03 6.330E+02 7.899E+00 7.174E+00 5.406E-09 1.969E+01 2.987E+01 9.866E-13 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.087E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 6.692E-25 3.852E-01 1.674E-02 5.339E-02
  2.268E+01 1.611E+03 1.110E+03 6.322E+02 7.899E+00 7.174E+00 5.161E-09 1.969E+01 2.987E+01 1.386E-12 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.086E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 1.291E-24 3.852E-01 1.674E-02 5.339E-02
  2.268E+01 1.612E+03 1.110E+03 6.322E+02 7.899E+00 7.174E+00 4.932E-09 1.969E+01 2.987E+01 3.202E-12 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.086E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 3.082E-23 3.852E-01 1.674E-02 5.339E-02
  2.268E+01 1.611E+03 1.110E+03 6.322E+02 7.899E+00 7.174E+00 1.307E-08 1.969E+01 2.987E+01 4.982E-12 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.086E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 6.301E-23 3.852E-01 1.674E-02 5.339E-02
  2.267E+01 1.612E+03 1.110E+03 6.323E+02 7.899E+00 7.174E+00 1.984E-07 1.969E+01 2.987E+01 6.216E-12 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.086E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 7.335E-23 3.852E-01 1.674E-02 5.339E-02
#
#Final isotopic abundance ratios: 
#
  2.267E+01 1.613E+03 1.111E+03 6.324E+02 7.899E+00 7.174E+00 2.245E-05 1.969E+01 2.987E+01 1.350E-11 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.431E+03 6.237E+02 2.086E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 3.471E-22 3.852E-01 1.674E-02 5.339E-02
#
# Initial mass = 1.750, Z =  0.0300, Y =  0.300, M_mix = 0.00E+00
#
#Initial isotopic abundance ratios: 
#  c12/c13   n14/n15   o16/o17   o16/o18   mg24/mg25 mg24/mg26 al26/al27 si28/si29 si28/si30 cl36/cl35 cl37/cl35  s33/s32  s34/s32   s36/s32   ar36/ar40 ar38/ar40  k40/k39  k41/k39  ca42/ca40 ca43/ca40 ca44/ca40 ca46/ca40 ca48/ca40 ti46/ti48 ti47/ti48 ti49/ti48 ti50/ti48 cr53/cr52 cr54/cr52 fe54/fe56 fe57/fe56 fe58/fe56 fe60/fe56 ni60/ni58 ni61/ni58 ni62/ni58
#
  8.940E+01 4.476E+02 2.632E+03 4.988E+02 7.899E+00 7.174E+00 0.000E+00 1.969E+01 2.987E+01 0.000E+00 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.439E+03 6.252E+02 1.578E-04 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
#
# During TP-AGB
#
  2.015E+01 2.009E+03 5.803E+02 6.746E+02 7.899E+00 7.174E+00 2.036E-08 1.969E+01 2.987E+01 6.829E-22 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.432E+03 6.240E+02 4.715E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.015E+01 2.008E+03 5.804E+02 6.745E+02 7.899E+00 7.174E+00 1.931E-08 1.969E+01 2.987E+01 3.040E-19 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.432E+03 6.240E+02 4.715E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 0.000E+00 3.852E-01 1.674E-02 5.339E-02
  2.028E+01 1.992E+03 5.829E+02 6.733E+02 7.899E+00 7.174E+00 1.811E-08 1.969E+01 2.987E+01 4.098E-17 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.432E+03 6.240E+02 4.715E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 5.074E-33 3.852E-01 1.674E-02 5.339E-02
  2.028E+01 1.992E+03 5.829E+02 6.733E+02 7.899E+00 7.174E+00 1.705E-08 1.969E+01 2.987E+01 5.356E-15 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.432E+03 6.240E+02 4.715E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 8.656E-32 3.852E-01 1.674E-02 5.339E-02
  2.028E+01 1.992E+03 5.829E+02 6.733E+02 7.899E+00 7.174E+00 1.599E-08 1.969E+01 2.987E+01 1.570E-14 3.196E-01 8.006E-03 4.519E-02 2.107E-04 3.432E+03 6.240E+02 4.715E-05 7.216E-02 6.674E-03 1.393E-03 2.152E-02 4.126E-05 1.929E-03 1.119E-01 1.009E-01 7.339E-02 7.027E-02 1.134E-01 2.823E-02 6.370E-02 2.310E-02 3.073E-03 3.704E-30 3.852E-01 1.674E-02 5.339E-02
